	type	value	gset	source	perc
0	"Random
subsampled RTs"	0.8234	ADaM2021	AVANA	0.05
1	"Random
subsampled RTs"	0.8443	ADaM2021	AVANA	0.1
2	"Random
subsampled RTs"	0.8529	ADaM2021	AVANA	0.15
3	"Random
subsampled RTs"	0.8829	ADaM2021	AVANA	0.2
4	"Random
subsampled RTs"	0.8967	ADaM2021	AVANA	0.25
5	"Random
subsampled RTs"	0.8971	ADaM2021	AVANA	0.3
6	"Random
subsampled RTs"	0.8999	ADaM2021	AVANA	0.35
7	"Random
subsampled RTs"	0.907	ADaM2021	AVANA	0.4
8	"Random
subsampled RTs"	0.9089	ADaM2021	AVANA	0.45
9	"Random
subsampled RTs"	0.9222	ADaM2021	AVANA	0.5
10	"Random
subsampled RTs"	0.9171	ADaM2021	AVANA	0.55
11	"Random
subsampled RTs"	0.897	ADaM2021	AVANA	0.6
12	"Random
subsampled RTs"	0.9175	ADaM2021	AVANA	0.65
13	"Random
subsampled RTs"	0.9392	ADaM2021	AVANA	0.7
14	"Random
subsampled RTs"	0.9453	ADaM2021	AVANA	0.75
15	"Random
subsampled RTs"	0.9527	ADaM2021	AVANA	0.8
16	"Random
subsampled RTs"	0.9569	ADaM2021	AVANA	0.85
17	"Random
subsampled RTs"	0.96	ADaM2021	AVANA	0.9
18	"Random
subsampled RTs"	0.9659	ADaM2021	AVANA	0.95
19	"Random
subsampled RTs"	0.8501	ADaM2021	KY	0.05
20	"Random
subsampled RTs"	0.8493	ADaM2021	KY	0.1
21	"Random
subsampled RTs"	0.884	ADaM2021	KY	0.15
22	"Random
subsampled RTs"	0.9087	ADaM2021	KY	0.2
23	"Random
subsampled RTs"	0.9227	ADaM2021	KY	0.25
24	"Random
subsampled RTs"	0.9193	ADaM2021	KY	0.3
25	"Random
subsampled RTs"	0.934	ADaM2021	KY	0.35
26	"Random
subsampled RTs"	0.9425	ADaM2021	KY	0.4
27	"Random
subsampled RTs"	0.9475	ADaM2021	KY	0.45
28	"Random
subsampled RTs"	0.952	ADaM2021	KY	0.5
29	"Random
subsampled RTs"	0.96	ADaM2021	KY	0.55
30	"Random
subsampled RTs"	0.9573	ADaM2021	KY	0.6
31	"Random
subsampled RTs"	0.9603	ADaM2021	KY	0.65
32	"Random
subsampled RTs"	0.9578	ADaM2021	KY	0.7
33	"Random
subsampled RTs"	0.9625	ADaM2021	KY	0.75
34	"Random
subsampled RTs"	0.9648	ADaM2021	KY	0.8
35	"Random
subsampled RTs"	0.9702	ADaM2021	KY	0.85
36	"Random
subsampled RTs"	0.9778	ADaM2021	KY	0.9
37	"Random
subsampled RTs"	0.9835	ADaM2021	KY	0.95
38	"Random
subsampled RTs"	0.7056	Hart2017	AVANA	0.05
39	"Random
subsampled RTs"	0.7521	Hart2017	AVANA	0.1
40	"Random
subsampled RTs"	0.8276	Hart2017	AVANA	0.15
41	"Random
subsampled RTs"	0.8458	Hart2017	AVANA	0.2
42	"Random
subsampled RTs"	0.8508	Hart2017	AVANA	0.25
43	"Random
subsampled RTs"	0.8331	Hart2017	AVANA	0.3
44	"Random
subsampled RTs"	0.8499	Hart2017	AVANA	0.35
45	"Random
subsampled RTs"	0.8636	Hart2017	AVANA	0.4
46	"Random
subsampled RTs"	0.8801	Hart2017	AVANA	0.45
47	"Random
subsampled RTs"	0.8847	Hart2017	AVANA	0.5
48	"Random
subsampled RTs"	0.898	Hart2017	AVANA	0.55
49	"Random
subsampled RTs"	0.8891	Hart2017	AVANA	0.6
50	"Random
subsampled RTs"	0.9005	Hart2017	AVANA	0.65
51	"Random
subsampled RTs"	0.9079	Hart2017	AVANA	0.7
52	"Random
subsampled RTs"	0.9029	Hart2017	AVANA	0.75
53	"Random
subsampled RTs"	0.892	Hart2017	AVANA	0.8
54	"Random
subsampled RTs"	0.9352	Hart2017	AVANA	0.85
55	"Random
subsampled RTs"	0.9393	Hart2017	AVANA	0.9
56	"Random
subsampled RTs"	0.9462	Hart2017	AVANA	0.95
57	"Random
subsampled RTs"	0.817	Hart2017	KY	0.05
58	"Random
subsampled RTs"	0.8667	Hart2017	KY	0.1
59	"Random
subsampled RTs"	0.885	Hart2017	KY	0.15
60	"Random
subsampled RTs"	0.8987	Hart2017	KY	0.2
61	"Random
subsampled RTs"	0.908	Hart2017	KY	0.25
62	"Random
subsampled RTs"	0.9088	Hart2017	KY	0.3
63	"Random
subsampled RTs"	0.921	Hart2017	KY	0.35
64	"Random
subsampled RTs"	0.9281	Hart2017	KY	0.4
65	"Random
subsampled RTs"	0.922	Hart2017	KY	0.45
66	"Random
subsampled RTs"	0.9309	Hart2017	KY	0.5
67	"Random
subsampled RTs"	0.9414	Hart2017	KY	0.55
68	"Random
subsampled RTs"	0.9422	Hart2017	KY	0.6
69	"Random
subsampled RTs"	0.941	Hart2017	KY	0.65
70	"Random
subsampled RTs"	0.9454	Hart2017	KY	0.7
71	"Random
subsampled RTs"	0.9517	Hart2017	KY	0.75
72	"Random
subsampled RTs"	0.9662	Hart2017	KY	0.8
73	"Random
subsampled RTs"	0.9693	Hart2017	KY	0.85
74	"Random
subsampled RTs"	0.9712	Hart2017	KY	0.9
75	"Random
subsampled RTs"	0.9764	Hart2017	KY	0.95
76	"Random
subsampled RTs"	0.6874	ADaM2021	AVANA	0.05
77	"Random
subsampled RTs"	0.8139	ADaM2021	AVANA	0.1
78	"Random
subsampled RTs"	0.8729	ADaM2021	AVANA	0.15
79	"Random
subsampled RTs"	0.8934	ADaM2021	AVANA	0.2
80	"Random
subsampled RTs"	0.9125	ADaM2021	AVANA	0.25
81	"Random
subsampled RTs"	0.9181	ADaM2021	AVANA	0.3
82	"Random
subsampled RTs"	0.9239	ADaM2021	AVANA	0.35
83	"Random
subsampled RTs"	0.9173	ADaM2021	AVANA	0.4
84	"Random
subsampled RTs"	0.9279	ADaM2021	AVANA	0.45
85	"Random
subsampled RTs"	0.925	ADaM2021	AVANA	0.5
86	"Random
subsampled RTs"	0.9302	ADaM2021	AVANA	0.55
87	"Random
subsampled RTs"	0.9354	ADaM2021	AVANA	0.6
88	"Random
subsampled RTs"	0.944	ADaM2021	AVANA	0.65
89	"Random
subsampled RTs"	0.947	ADaM2021	AVANA	0.7
90	"Random
subsampled RTs"	0.9499	ADaM2021	AVANA	0.75
91	"Random
subsampled RTs"	0.9537	ADaM2021	AVANA	0.8
92	"Random
subsampled RTs"	0.9532	ADaM2021	AVANA	0.85
93	"Random
subsampled RTs"	0.9568	ADaM2021	AVANA	0.9
94	"Random
subsampled RTs"	0.967	ADaM2021	AVANA	0.95
95	"Random
subsampled RTs"	0.8306	ADaM2021	KY	0.05
96	"Random
subsampled RTs"	0.8911	ADaM2021	KY	0.1
97	"Random
subsampled RTs"	0.9094	ADaM2021	KY	0.15
98	"Random
subsampled RTs"	0.9086	ADaM2021	KY	0.2
99	"Random
subsampled RTs"	0.9163	ADaM2021	KY	0.25
100	"Random
subsampled RTs"	0.9272	ADaM2021	KY	0.3
101	"Random
subsampled RTs"	0.9398	ADaM2021	KY	0.35
102	"Random
subsampled RTs"	0.9316	ADaM2021	KY	0.4
103	"Random
subsampled RTs"	0.9393	ADaM2021	KY	0.45
104	"Random
subsampled RTs"	0.9516	ADaM2021	KY	0.5
105	"Random
subsampled RTs"	0.9549	ADaM2021	KY	0.55
106	"Random
subsampled RTs"	0.9574	ADaM2021	KY	0.6
107	"Random
subsampled RTs"	0.9604	ADaM2021	KY	0.65
108	"Random
subsampled RTs"	0.9664	ADaM2021	KY	0.7
109	"Random
subsampled RTs"	0.97	ADaM2021	KY	0.75
110	"Random
subsampled RTs"	0.9743	ADaM2021	KY	0.8
111	"Random
subsampled RTs"	0.976	ADaM2021	KY	0.85
112	"Random
subsampled RTs"	0.9768	ADaM2021	KY	0.9
113	"Random
subsampled RTs"	0.9825	ADaM2021	KY	0.95
114	"Random
subsampled RTs"	0.6772	Hart2017	AVANA	0.05
115	"Random
subsampled RTs"	0.6639	Hart2017	AVANA	0.1
116	"Random
subsampled RTs"	0.7742	Hart2017	AVANA	0.15
117	"Random
subsampled RTs"	0.8125	Hart2017	AVANA	0.2
118	"Random
subsampled RTs"	0.8471	Hart2017	AVANA	0.25
119	"Random
subsampled RTs"	0.8463	Hart2017	AVANA	0.3
120	"Random
subsampled RTs"	0.8525	Hart2017	AVANA	0.35
121	"Random
subsampled RTs"	0.8456	Hart2017	AVANA	0.4
122	"Random
subsampled RTs"	0.8471	Hart2017	AVANA	0.45
123	"Random
subsampled RTs"	0.8386	Hart2017	AVANA	0.5
124	"Random
subsampled RTs"	0.9019	Hart2017	AVANA	0.55
125	"Random
subsampled RTs"	0.9087	Hart2017	AVANA	0.6
126	"Random
subsampled RTs"	0.9159	Hart2017	AVANA	0.65
127	"Random
subsampled RTs"	0.9192	Hart2017	AVANA	0.7
128	"Random
subsampled RTs"	0.9273	Hart2017	AVANA	0.75
129	"Random
subsampled RTs"	0.9289	Hart2017	AVANA	0.8
130	"Random
subsampled RTs"	0.9293	Hart2017	AVANA	0.85
131	"Random
subsampled RTs"	0.9348	Hart2017	AVANA	0.9
132	"Random
subsampled RTs"	0.9313	Hart2017	AVANA	0.95
133	"Random
subsampled RTs"	0.7473	Hart2017	KY	0.05
134	"Random
subsampled RTs"	0.8373	Hart2017	KY	0.1
135	"Random
subsampled RTs"	0.8275	Hart2017	KY	0.15
136	"Random
subsampled RTs"	0.848	Hart2017	KY	0.2
137	"Random
subsampled RTs"	0.8529	Hart2017	KY	0.25
138	"Random
subsampled RTs"	0.9051	Hart2017	KY	0.3
139	"Random
subsampled RTs"	0.9119	Hart2017	KY	0.35
140	"Random
subsampled RTs"	0.9296	Hart2017	KY	0.4
141	"Random
subsampled RTs"	0.9359	Hart2017	KY	0.45
142	"Random
subsampled RTs"	0.9365	Hart2017	KY	0.5
143	"Random
subsampled RTs"	0.941	Hart2017	KY	0.55
144	"Random
subsampled RTs"	0.9417	Hart2017	KY	0.6
145	"Random
subsampled RTs"	0.9514	Hart2017	KY	0.65
146	"Random
subsampled RTs"	0.9507	Hart2017	KY	0.7
147	"Random
subsampled RTs"	0.9556	Hart2017	KY	0.75
148	"Random
subsampled RTs"	0.963	Hart2017	KY	0.8
149	"Random
subsampled RTs"	0.9713	Hart2017	KY	0.85
150	"Random
subsampled RTs"	0.9732	Hart2017	KY	0.9
151	"Random
subsampled RTs"	0.978	Hart2017	KY	0.95
152	"Random
subsampled RTs"	0.7589	ADaM2021	AVANA	0.05
153	"Random
subsampled RTs"	0.7498	ADaM2021	AVANA	0.1
154	"Random
subsampled RTs"	0.8555	ADaM2021	AVANA	0.15
155	"Random
subsampled RTs"	0.8784	ADaM2021	AVANA	0.2
156	"Random
subsampled RTs"	0.9005	ADaM2021	AVANA	0.25
157	"Random
subsampled RTs"	0.9024	ADaM2021	AVANA	0.3
158	"Random
subsampled RTs"	0.9086	ADaM2021	AVANA	0.35
159	"Random
subsampled RTs"	0.9199	ADaM2021	AVANA	0.4
160	"Random
subsampled RTs"	0.9277	ADaM2021	AVANA	0.45
161	"Random
subsampled RTs"	0.9355	ADaM2021	AVANA	0.5
162	"Random
subsampled RTs"	0.9396	ADaM2021	AVANA	0.55
163	"Random
subsampled RTs"	0.9366	ADaM2021	AVANA	0.6
164	"Random
subsampled RTs"	0.9449	ADaM2021	AVANA	0.65
165	"Random
subsampled RTs"	0.9489	ADaM2021	AVANA	0.7
166	"Random
subsampled RTs"	0.9479	ADaM2021	AVANA	0.75
167	"Random
subsampled RTs"	0.9518	ADaM2021	AVANA	0.8
168	"Random
subsampled RTs"	0.9581	ADaM2021	AVANA	0.85
169	"Random
subsampled RTs"	0.9568	ADaM2021	AVANA	0.9
170	"Random
subsampled RTs"	0.966	ADaM2021	AVANA	0.95
171	"Random
subsampled RTs"	0.8051	ADaM2021	KY	0.05
172	"Random
subsampled RTs"	0.8649	ADaM2021	KY	0.1
173	"Random
subsampled RTs"	0.9004	ADaM2021	KY	0.15
174	"Random
subsampled RTs"	0.9163	ADaM2021	KY	0.2
175	"Random
subsampled RTs"	0.9221	ADaM2021	KY	0.25
176	"Random
subsampled RTs"	0.9298	ADaM2021	KY	0.3
177	"Random
subsampled RTs"	0.9245	ADaM2021	KY	0.35
178	"Random
subsampled RTs"	0.9273	ADaM2021	KY	0.4
179	"Random
subsampled RTs"	0.9389	ADaM2021	KY	0.45
180	"Random
subsampled RTs"	0.9418	ADaM2021	KY	0.5
181	"Random
subsampled RTs"	0.9525	ADaM2021	KY	0.55
182	"Random
subsampled RTs"	0.9586	ADaM2021	KY	0.6
183	"Random
subsampled RTs"	0.9614	ADaM2021	KY	0.65
184	"Random
subsampled RTs"	0.9655	ADaM2021	KY	0.7
185	"Random
subsampled RTs"	0.9704	ADaM2021	KY	0.75
186	"Random
subsampled RTs"	0.9722	ADaM2021	KY	0.8
187	"Random
subsampled RTs"	0.9752	ADaM2021	KY	0.85
188	"Random
subsampled RTs"	0.9777	ADaM2021	KY	0.9
189	"Random
subsampled RTs"	0.981	ADaM2021	KY	0.95
190	"Random
subsampled RTs"	0.7237	Hart2017	AVANA	0.05
191	"Random
subsampled RTs"	0.7737	Hart2017	AVANA	0.1
192	"Random
subsampled RTs"	0.8279	Hart2017	AVANA	0.15
193	"Random
subsampled RTs"	0.8452	Hart2017	AVANA	0.2
194	"Random
subsampled RTs"	0.8501	Hart2017	AVANA	0.25
195	"Random
subsampled RTs"	0.8061	Hart2017	AVANA	0.3
196	"Random
subsampled RTs"	0.8514	Hart2017	AVANA	0.35
197	"Random
subsampled RTs"	0.8671	Hart2017	AVANA	0.4
198	"Random
subsampled RTs"	0.8758	Hart2017	AVANA	0.45
199	"Random
subsampled RTs"	0.8823	Hart2017	AVANA	0.5
200	"Random
subsampled RTs"	0.8924	Hart2017	AVANA	0.55
201	"Random
subsampled RTs"	0.9051	Hart2017	AVANA	0.6
202	"Random
subsampled RTs"	0.9057	Hart2017	AVANA	0.65
203	"Random
subsampled RTs"	0.9176	Hart2017	AVANA	0.7
204	"Random
subsampled RTs"	0.9178	Hart2017	AVANA	0.75
205	"Random
subsampled RTs"	0.9256	Hart2017	AVANA	0.8
206	"Random
subsampled RTs"	0.9284	Hart2017	AVANA	0.85
207	"Random
subsampled RTs"	0.9412	Hart2017	AVANA	0.9
208	"Random
subsampled RTs"	0.9461	Hart2017	AVANA	0.95
209	"Random
subsampled RTs"	0.6735	Hart2017	KY	0.05
210	"Random
subsampled RTs"	0.834	Hart2017	KY	0.1
211	"Random
subsampled RTs"	0.8862	Hart2017	KY	0.15
212	"Random
subsampled RTs"	0.8684	Hart2017	KY	0.2
213	"Random
subsampled RTs"	0.8788	Hart2017	KY	0.25
214	"Random
subsampled RTs"	0.9134	Hart2017	KY	0.3
215	"Random
subsampled RTs"	0.9175	Hart2017	KY	0.35
216	"Random
subsampled RTs"	0.9031	Hart2017	KY	0.4
217	"Random
subsampled RTs"	0.9062	Hart2017	KY	0.45
218	"Random
subsampled RTs"	0.9416	Hart2017	KY	0.5
219	"Random
subsampled RTs"	0.9487	Hart2017	KY	0.55
220	"Random
subsampled RTs"	0.9463	Hart2017	KY	0.6
221	"Random
subsampled RTs"	0.9501	Hart2017	KY	0.65
222	"Random
subsampled RTs"	0.9577	Hart2017	KY	0.7
223	"Random
subsampled RTs"	0.9603	Hart2017	KY	0.75
224	"Random
subsampled RTs"	0.9534	Hart2017	KY	0.8
225	"Random
subsampled RTs"	0.9456	Hart2017	KY	0.85
226	"Random
subsampled RTs"	0.9561	Hart2017	KY	0.9
227	"Random
subsampled RTs"	0.9751	Hart2017	KY	0.95
228	"Random
subsampled RTs"	0.7405	ADaM2021	AVANA	0.05
229	"Random
subsampled RTs"	0.7582	ADaM2021	AVANA	0.1
230	"Random
subsampled RTs"	0.7195	ADaM2021	AVANA	0.15
231	"Random
subsampled RTs"	0.7994	ADaM2021	AVANA	0.2
232	"Random
subsampled RTs"	0.8461	ADaM2021	AVANA	0.25
233	"Random
subsampled RTs"	0.8924	ADaM2021	AVANA	0.3
234	"Random
subsampled RTs"	0.8678	ADaM2021	AVANA	0.35
235	"Random
subsampled RTs"	0.8981	ADaM2021	AVANA	0.4
236	"Random
subsampled RTs"	0.8805	ADaM2021	AVANA	0.45
237	"Random
subsampled RTs"	0.8921	ADaM2021	AVANA	0.5
238	"Random
subsampled RTs"	0.9048	ADaM2021	AVANA	0.55
239	"Random
subsampled RTs"	0.9126	ADaM2021	AVANA	0.6
240	"Random
subsampled RTs"	0.9184	ADaM2021	AVANA	0.65
241	"Random
subsampled RTs"	0.9098	ADaM2021	AVANA	0.7
242	"Random
subsampled RTs"	0.9486	ADaM2021	AVANA	0.75
243	"Random
subsampled RTs"	0.9517	ADaM2021	AVANA	0.8
244	"Random
subsampled RTs"	0.9561	ADaM2021	AVANA	0.85
245	"Random
subsampled RTs"	0.9591	ADaM2021	AVANA	0.9
246	"Random
subsampled RTs"	0.964	ADaM2021	AVANA	0.95
247	"Random
subsampled RTs"	0.7875	ADaM2021	KY	0.05
248	"Random
subsampled RTs"	0.8553	ADaM2021	KY	0.1
249	"Random
subsampled RTs"	0.8824	ADaM2021	KY	0.15
250	"Random
subsampled RTs"	0.8959	ADaM2021	KY	0.2
251	"Random
subsampled RTs"	0.9072	ADaM2021	KY	0.25
252	"Random
subsampled RTs"	0.9256	ADaM2021	KY	0.3
253	"Random
subsampled RTs"	0.9295	ADaM2021	KY	0.35
254	"Random
subsampled RTs"	0.9414	ADaM2021	KY	0.4
255	"Random
subsampled RTs"	0.9466	ADaM2021	KY	0.45
256	"Random
subsampled RTs"	0.9513	ADaM2021	KY	0.5
257	"Random
subsampled RTs"	0.9533	ADaM2021	KY	0.55
258	"Random
subsampled RTs"	0.9355	ADaM2021	KY	0.6
259	"Random
subsampled RTs"	0.9441	ADaM2021	KY	0.65
260	"Random
subsampled RTs"	0.9547	ADaM2021	KY	0.7
261	"Random
subsampled RTs"	0.9609	ADaM2021	KY	0.75
262	"Random
subsampled RTs"	0.9736	ADaM2021	KY	0.8
263	"Random
subsampled RTs"	0.9755	ADaM2021	KY	0.85
264	"Random
subsampled RTs"	0.9794	ADaM2021	KY	0.9
265	"Random
subsampled RTs"	0.9829	ADaM2021	KY	0.95
266	"Random
subsampled RTs"	0.651	Hart2017	AVANA	0.05
267	"Random
subsampled RTs"	0.7962	Hart2017	AVANA	0.1
268	"Random
subsampled RTs"	0.792	Hart2017	AVANA	0.15
269	"Random
subsampled RTs"	0.8151	Hart2017	AVANA	0.2
270	"Random
subsampled RTs"	0.8241	Hart2017	AVANA	0.25
271	"Random
subsampled RTs"	0.8039	Hart2017	AVANA	0.3
272	"Random
subsampled RTs"	0.8423	Hart2017	AVANA	0.35
273	"Random
subsampled RTs"	0.8655	Hart2017	AVANA	0.4
274	"Random
subsampled RTs"	0.8827	Hart2017	AVANA	0.45
275	"Random
subsampled RTs"	0.8903	Hart2017	AVANA	0.5
276	"Random
subsampled RTs"	0.8871	Hart2017	AVANA	0.55
277	"Random
subsampled RTs"	0.8927	Hart2017	AVANA	0.6
278	"Random
subsampled RTs"	0.9067	Hart2017	AVANA	0.65
279	"Random
subsampled RTs"	0.9144	Hart2017	AVANA	0.7
280	"Random
subsampled RTs"	0.9193	Hart2017	AVANA	0.75
281	"Random
subsampled RTs"	0.9307	Hart2017	AVANA	0.8
282	"Random
subsampled RTs"	0.9312	Hart2017	AVANA	0.85
283	"Random
subsampled RTs"	0.9317	Hart2017	AVANA	0.9
284	"Random
subsampled RTs"	0.9474	Hart2017	AVANA	0.95
285	"Random
subsampled RTs"	0.7831	Hart2017	KY	0.05
286	"Random
subsampled RTs"	0.7821	Hart2017	KY	0.1
287	"Random
subsampled RTs"	0.8425	Hart2017	KY	0.15
288	"Random
subsampled RTs"	0.8411	Hart2017	KY	0.2
289	"Random
subsampled RTs"	0.8842	Hart2017	KY	0.25
290	"Random
subsampled RTs"	0.9138	Hart2017	KY	0.3
291	"Random
subsampled RTs"	0.9215	Hart2017	KY	0.35
292	"Random
subsampled RTs"	0.9297	Hart2017	KY	0.4
293	"Random
subsampled RTs"	0.933	Hart2017	KY	0.45
294	"Random
subsampled RTs"	0.9328	Hart2017	KY	0.5
295	"Random
subsampled RTs"	0.9313	Hart2017	KY	0.55
296	"Random
subsampled RTs"	0.9293	Hart2017	KY	0.6
297	"Random
subsampled RTs"	0.9289	Hart2017	KY	0.65
298	"Random
subsampled RTs"	0.9495	Hart2017	KY	0.7
299	"Random
subsampled RTs"	0.9597	Hart2017	KY	0.75
300	"Random
subsampled RTs"	0.9656	Hart2017	KY	0.8
301	"Random
subsampled RTs"	0.9695	Hart2017	KY	0.85
302	"Random
subsampled RTs"	0.9696	Hart2017	KY	0.9
303	"Random
subsampled RTs"	0.9742	Hart2017	KY	0.95
304	"Random
subsampled RTs"	0.8042	ADaM2021	AVANA	0.05
305	"Random
subsampled RTs"	0.8552	ADaM2021	AVANA	0.1
306	"Random
subsampled RTs"	0.8602	ADaM2021	AVANA	0.15
307	"Random
subsampled RTs"	0.8612	ADaM2021	AVANA	0.2
308	"Random
subsampled RTs"	0.8952	ADaM2021	AVANA	0.25
309	"Random
subsampled RTs"	0.9056	ADaM2021	AVANA	0.3
310	"Random
subsampled RTs"	0.9174	ADaM2021	AVANA	0.35
311	"Random
subsampled RTs"	0.9208	ADaM2021	AVANA	0.4
312	"Random
subsampled RTs"	0.9248	ADaM2021	AVANA	0.45
313	"Random
subsampled RTs"	0.9324	ADaM2021	AVANA	0.5
314	"Random
subsampled RTs"	0.9357	ADaM2021	AVANA	0.55
315	"Random
subsampled RTs"	0.9382	ADaM2021	AVANA	0.6
316	"Random
subsampled RTs"	0.9404	ADaM2021	AVANA	0.65
317	"Random
subsampled RTs"	0.9475	ADaM2021	AVANA	0.7
318	"Random
subsampled RTs"	0.9506	ADaM2021	AVANA	0.75
319	"Random
subsampled RTs"	0.9499	ADaM2021	AVANA	0.8
320	"Random
subsampled RTs"	0.9549	ADaM2021	AVANA	0.85
321	"Random
subsampled RTs"	0.9598	ADaM2021	AVANA	0.9
322	"Random
subsampled RTs"	0.9628	ADaM2021	AVANA	0.95
323	"Random
subsampled RTs"	0.7744	ADaM2021	KY	0.05
324	"Random
subsampled RTs"	0.8577	ADaM2021	KY	0.1
325	"Random
subsampled RTs"	0.8838	ADaM2021	KY	0.15
326	"Random
subsampled RTs"	0.9076	ADaM2021	KY	0.2
327	"Random
subsampled RTs"	0.9095	ADaM2021	KY	0.25
328	"Random
subsampled RTs"	0.8981	ADaM2021	KY	0.3
329	"Random
subsampled RTs"	0.9149	ADaM2021	KY	0.35
330	"Random
subsampled RTs"	0.9291	ADaM2021	KY	0.4
331	"Random
subsampled RTs"	0.9372	ADaM2021	KY	0.45
332	"Random
subsampled RTs"	0.9426	ADaM2021	KY	0.5
333	"Random
subsampled RTs"	0.9565	ADaM2021	KY	0.55
334	"Random
subsampled RTs"	0.9558	ADaM2021	KY	0.6
335	"Random
subsampled RTs"	0.9604	ADaM2021	KY	0.65
336	"Random
subsampled RTs"	0.9583	ADaM2021	KY	0.7
337	"Random
subsampled RTs"	0.9545	ADaM2021	KY	0.75
338	"Random
subsampled RTs"	0.9724	ADaM2021	KY	0.8
339	"Random
subsampled RTs"	0.9746	ADaM2021	KY	0.85
340	"Random
subsampled RTs"	0.9798	ADaM2021	KY	0.9
341	"Random
subsampled RTs"	0.9826	ADaM2021	KY	0.95
342	"Random
subsampled RTs"	0.7907	Hart2017	AVANA	0.05
343	"Random
subsampled RTs"	0.8153	Hart2017	AVANA	0.1
344	"Random
subsampled RTs"	0.8365	Hart2017	AVANA	0.15
345	"Random
subsampled RTs"	0.8441	Hart2017	AVANA	0.2
346	"Random
subsampled RTs"	0.8492	Hart2017	AVANA	0.25
347	"Random
subsampled RTs"	0.8507	Hart2017	AVANA	0.3
348	"Random
subsampled RTs"	0.8721	Hart2017	AVANA	0.35
349	"Random
subsampled RTs"	0.8832	Hart2017	AVANA	0.4
350	"Random
subsampled RTs"	0.8913	Hart2017	AVANA	0.45
351	"Random
subsampled RTs"	0.8835	Hart2017	AVANA	0.5
352	"Random
subsampled RTs"	0.8693	Hart2017	AVANA	0.55
353	"Random
subsampled RTs"	0.8676	Hart2017	AVANA	0.6
354	"Random
subsampled RTs"	0.8911	Hart2017	AVANA	0.65
355	"Random
subsampled RTs"	0.8929	Hart2017	AVANA	0.7
356	"Random
subsampled RTs"	0.9178	Hart2017	AVANA	0.75
357	"Random
subsampled RTs"	0.9159	Hart2017	AVANA	0.8
358	"Random
subsampled RTs"	0.9093	Hart2017	AVANA	0.85
359	"Random
subsampled RTs"	0.9411	Hart2017	AVANA	0.9
360	"Random
subsampled RTs"	0.9458	Hart2017	AVANA	0.95
361	"Random
subsampled RTs"	0.7856	Hart2017	KY	0.05
362	"Random
subsampled RTs"	0.86	Hart2017	KY	0.1
363	"Random
subsampled RTs"	0.8835	Hart2017	KY	0.15
364	"Random
subsampled RTs"	0.8887	Hart2017	KY	0.2
365	"Random
subsampled RTs"	0.8965	Hart2017	KY	0.25
366	"Random
subsampled RTs"	0.9096	Hart2017	KY	0.3
367	"Random
subsampled RTs"	0.9096	Hart2017	KY	0.35
368	"Random
subsampled RTs"	0.9179	Hart2017	KY	0.4
369	"Random
subsampled RTs"	0.9325	Hart2017	KY	0.45
370	"Random
subsampled RTs"	0.9374	Hart2017	KY	0.5
371	"Random
subsampled RTs"	0.9364	Hart2017	KY	0.55
372	"Random
subsampled RTs"	0.9455	Hart2017	KY	0.6
373	"Random
subsampled RTs"	0.9451	Hart2017	KY	0.65
374	"Random
subsampled RTs"	0.9502	Hart2017	KY	0.7
375	"Random
subsampled RTs"	0.9569	Hart2017	KY	0.75
376	"Random
subsampled RTs"	0.9578	Hart2017	KY	0.8
377	"Random
subsampled RTs"	0.956	Hart2017	KY	0.85
378	"Random
subsampled RTs"	0.9648	Hart2017	KY	0.9
379	"Random
subsampled RTs"	0.9787	Hart2017	KY	0.95
380	"Random
subsampled RTs"	0.7104	ADaM2021	AVANA	0.05
381	"Random
subsampled RTs"	0.8385	ADaM2021	AVANA	0.1
382	"Random
subsampled RTs"	0.8643	ADaM2021	AVANA	0.15
383	"Random
subsampled RTs"	0.8527	ADaM2021	AVANA	0.2
384	"Random
subsampled RTs"	0.8675	ADaM2021	AVANA	0.25
385	"Random
subsampled RTs"	0.894	ADaM2021	AVANA	0.3
386	"Random
subsampled RTs"	0.8805	ADaM2021	AVANA	0.35
387	"Random
subsampled RTs"	0.9037	ADaM2021	AVANA	0.4
388	"Random
subsampled RTs"	0.9169	ADaM2021	AVANA	0.45
389	"Random
subsampled RTs"	0.9019	ADaM2021	AVANA	0.5
390	"Random
subsampled RTs"	0.9001	ADaM2021	AVANA	0.55
391	"Random
subsampled RTs"	0.9097	ADaM2021	AVANA	0.6
392	"Random
subsampled RTs"	0.8977	ADaM2021	AVANA	0.65
393	"Random
subsampled RTs"	0.9255	ADaM2021	AVANA	0.7
394	"Random
subsampled RTs"	0.9394	ADaM2021	AVANA	0.75
395	"Random
subsampled RTs"	0.9532	ADaM2021	AVANA	0.8
396	"Random
subsampled RTs"	0.9598	ADaM2021	AVANA	0.85
397	"Random
subsampled RTs"	0.9637	ADaM2021	AVANA	0.9
398	"Random
subsampled RTs"	0.9661	ADaM2021	AVANA	0.95
399	"Random
subsampled RTs"	0.7694	ADaM2021	KY	0.05
400	"Random
subsampled RTs"	0.8517	ADaM2021	KY	0.1
401	"Random
subsampled RTs"	0.8644	ADaM2021	KY	0.15
402	"Random
subsampled RTs"	0.8877	ADaM2021	KY	0.2
403	"Random
subsampled RTs"	0.908	ADaM2021	KY	0.25
404	"Random
subsampled RTs"	0.9196	ADaM2021	KY	0.3
