	Gene	Corrected fold-changes	category	gset	Library
37	DDI2	-0.286158403869256	Exclusive	ADaM2021	Brunello
38	UQCRHL	-0.7259867888798027	Common	ADaM2021	Brunello
39	ZBTB17	-2.8208947944814207	Common	ADaM2021	Brunello
40	ARHGEF19	-0.4603017671849668	Common	ADaM2021	Brunello
41	FAM231A	-1.0207256175958903	Common	ADaM2021	Brunello
42	MST1L	-0.6578210320706904	Common	ADaM2021	Brunello
43	RCC2	-0.2410065567922349	Exclusive	ADaM2021	Brunello
44	UBR4	-1.078416039560283	Common	ADaM2021	Brunello
45	CAPZB	-3.926748776826873	Common	ADaM2021	Brunello
46	MINOS1	-0.4712373113385302	Common	ADaM2021	Brunello
47	OTUD3	-0.478310291534702	Common	ADaM2021	Brunello
48	PLA2G2C	-0.2887491476163513	Exclusive	ADaM2021	Brunello
49	FAM43B	-0.3630548558665606	Common	ADaM2021	Brunello
50	DDOST	-2.2244446234101503	Common	ADaM2021	Brunello
51	NBPF3	-0.923203568360582	Common	ADaM2021	Brunello
52	HSPG2	-0.3737937617679973	Common	ADaM2021	Brunello
53	CDC42	-1.14381136349351	Common	ADaM2021	Brunello
54	WNT4	-0.232290716535824	Exclusive	ADaM2021	Brunello
55	ZBTB40	-0.3840612391701539	Common	ADaM2021	Brunello
56	KDM1A	-1.0134663126696406	Common	ADaM2021	Brunello
57	RPL11	-5.501263955680473	Common	ADaM2021	Brunello
58	SRSF10	-0.5383979419285884	Common	ADaM2021	Brunello
59	IL22RA1	-0.4464941405140563	Common	ADaM2021	Brunello
60	GRHL3	-0.2915344029903499	Exclusive	ADaM2021	Brunello
61	SRRM1	-0.7732296488953879	Common	ADaM2021	Brunello
62	CEP85	-0.5528066761593879	Common	ADaM2021	Brunello
63	DHDDS	-1.5843688153172806	Common	ADaM2021	Brunello
64	GPN2	-4.916318411171284	Common	ADaM2021	Brunello
65	NUDC	-1.9652877618416829	Common	ADaM2021	Brunello
66	WASF2	-0.2494907214371454	Exclusive	ADaM2021	Brunello
67	PPP1R8	-1.4509830486976774	Common	ADaM2021	Brunello
68	RPA2	-1.3600064354204355	Common	ADaM2021	Brunello
69	DNAJC8	-1.2537726461808183	Common	ADaM2021	Brunello
70	MED18	-1.4784207178876465	Common	ADaM2021	Brunello
71	RCC1	-2.3342828505499646	Common	ADaM2021	Brunello
72	TRNAU1AP	-0.9924943482743775	Common	ADaM2021	Brunello
73	PUM1	-0.2634089735080187	Exclusive	ADaM2021	Brunello
74	SNRNP40	-2.0476618596631684	Common	ADaM2021	Brunello
75	PTP4A2	-0.3015964251246082	Exclusive	ADaM2021	Brunello
76	EIF3I	-3.882784113982348	Common	ADaM2021	Brunello
77	ZBTB8OS	-3.1565113343045046	Common	ADaM2021	Brunello
78	RBBP4	-1.6414777878034912	Common	ADaM2021	Brunello
79	YARS	-3.711665143327792	Common	ADaM2021	Brunello
80	ZMYM1	-0.2295227914724935	Exclusive	ADaM2021	Brunello
81	SFPQ	-5.505403449406168	Common	ADaM2021	Brunello
82	PSMB2	-2.557056260937044	Common	ADaM2021	Brunello
83	CLSPN	-0.8266849754356972	Common	ADaM2021	Brunello
84	TRAPPC3	-3.4011650181791757	Common	ADaM2021	Brunello
85	STK40	-0.3465390798179924	Common	ADaM2021	Brunello
86	LSM10	-0.6943959563540674	Common	ADaM2021	Brunello
87	MEAF6	-0.2517391696261414	Exclusive	ADaM2021	Brunello
88	SNIP1	-1.5683047737545206	Common	ADaM2021	Brunello
89	GNL2	-3.523624837638418	Common	ADaM2021	Brunello
90	C1orf109	-1.008762771695389	Common	ADaM2021	Brunello
91	CDCA8	-1.5747510772310285	Common	ADaM2021	Brunello
92	YRDC	-0.9609361033812016	Common	ADaM2021	Brunello
93	SF3A3	-2.645995778038152	Common	ADaM2021	Brunello
94	UTP11L	-0.8398668336982662	Common	ADaM2021	Brunello
95	RRAGC	-0.4830866415932449	Common	ADaM2021	Brunello
96	RHBDL2	-0.2475757240554454	Exclusive	ADaM2021	Brunello
97	PPIE	-0.8213274267568635	Common	ADaM2021	Brunello
98	OXCT2	-0.2618013841308682	Exclusive	ADaM2021	Brunello
99	TRIT1	-0.329735883212466	Common	ADaM2021	Brunello
100	MYCL	-0.3274233734834197	Common	ADaM2021	Brunello
101	CAP1	-0.3957490108408203	Common	ADaM2021	Brunello
102	ZFP69	-0.2485852110049377	Exclusive	ADaM2021	Brunello
103	NFYC	-0.6895641041130667	Common	ADaM2021	Brunello
104	CTPS1	-0.2766755913059694	Exclusive	ADaM2021	Brunello
105	FOXO6	-0.3478236712683331	Common	ADaM2021	Brunello
106	HIVEP3	-0.2475957619228725	Exclusive	ADaM2021	Brunello
107	SLC2A1	-1.7880817436797531	Common	ADaM2021	Brunello
108	EBNA1BP2	-1.5852866610302905	Common	ADaM2021	Brunello
109	CDC20	-1.60053696325674	Common	ADaM2021	Brunello
110	MED8	-2.2092276434002454	Common	ADaM2021	Brunello
111	IPO13	-0.6473614064791811	Common	ADaM2021	Brunello
112	ATP6V0B	-1.830625296574449	Common	ADaM2021	Brunello
113	DMAP1	-1.7171312882902456	Common	ADaM2021	Brunello
114	RPS8	-6.071813405228937	Common	ADaM2021	Brunello
115	BEST4	-0.2670243316315354	Exclusive	ADaM2021	Brunello
116	PTCH2	-0.3118143226163536	Exclusive	ADaM2021	Brunello
117	EIF2B3	-3.772206597316711	Common	ADaM2021	Brunello
118	UROD	-0.509331820130413	Common	ADaM2021	Brunello
119	TOE1	-0.6681099408745198	Common	ADaM2021	Brunello
120	UQCRH	-1.626924055854349	Common	ADaM2021	Brunello
121	ATPAF1	-0.3788997973323208	Common	ADaM2021	Brunello
122	STIL	-1.9810238357530403	Common	ADaM2021	Brunello
123	CMPK1	-1.3033296306346138	Common	ADaM2021	Brunello
124	OSBPL9	-1.560438598167568	Common	ADaM2021	Brunello
125	KTI12	-1.2556342596748262	Common	ADaM2021	Brunello
126	ORC1	-1.6636502614695312	Common	ADaM2021	Brunello
127	PRPF38A	-4.078697993819453	Common	ADaM2021	Brunello
128	MAGOH	-1.0303813439009175	Common	ADaM2021	Brunello
129	NDC1	-0.8219069863349796	Common	ADaM2021	Brunello
130	TTC4	-0.7504355479622404	Common	ADaM2021	Brunello
131	USP24	-0.2753865028881533	Exclusive	ADaM2021	Brunello
132	ALG6	-0.7582941167032782	Common	ADaM2021	Brunello
133	AK4	-0.2356430200250248	Exclusive	ADaM2021	Brunello
134	MIER1	-0.2473390710159658	Exclusive	ADaM2021	Brunello
135	SLC35D1	-0.2321191909361927	Exclusive	ADaM2021	Brunello
136	SERBP1	-0.7114642070610782	Common	ADaM2021	Brunello
137	SRSF11	-1.8039730831198	Common	ADaM2021	Brunello
138	ZRANB2	-0.7601722793514626	Common	ADaM2021	Brunello
139	RABGGTB	-1.5211146784762353	Common	ADaM2021	Brunello
140	PIGK	-0.5712217103356401	Common	ADaM2021	Brunello
141	ZZZ3	-0.4834532136550257	Common	ADaM2021	Brunello
142	FUBP1	-0.9823772168636736	Common	ADaM2021	Brunello
143	IFI44	-0.2286133266892197	Exclusive	ADaM2021	Brunello
144	ADGRL2	-0.2411277566764285	Exclusive	ADaM2021	Brunello
145	SAMD13	-0.2462363502141538	Exclusive	ADaM2021	Brunello
146	RPF1	-1.7089883922130251	Common	ADaM2021	Brunello
147	GNG5	-0.8768132756933962	Common	ADaM2021	Brunello
148	MCOLN2	-0.2849345650813588	Exclusive	ADaM2021	Brunello
149	DDAH1	-1.252898491001278	Common	ADaM2021	Brunello
150	ZNHIT6	-1.2005605216015036	Common	ADaM2021	Brunello
151	PKN2	-0.7312994332178238	Common	ADaM2021	Brunello
152	GTF2B	-3.2661999466200835	Common	ADaM2021	Brunello
153	GBP4	-0.3492792527078294	Common	ADaM2021	Brunello
154	ZNF644	-0.5254136243045193	Common	ADaM2021	Brunello
155	HFM1	-0.3380300251196608	Common	ADaM2021	Brunello
156	CDC7	-4.685724456870486	Common	ADaM2021	Brunello
157	GLMN	-0.4805519753858186	Common	ADaM2021	Brunello
158	RPAP2	-1.882194505208564	Common	ADaM2021	Brunello
159	EVI5	-0.3158544141120135	Exclusive	ADaM2021	Brunello
160	RPL5	-3.3634717761317656	Common	ADaM2021	Brunello
161	DR1	-0.7252567661192909	Common	ADaM2021	Brunello
162	DNTTIP2	-0.840099876868168	Common	ADaM2021	Brunello
163	ALG14	-1.47148622479044	Common	ADaM2021	Brunello
164	SASS6	-2.3818800678350662	Common	ADaM2021	Brunello
165	DPH5	-0.980346315746808	Common	ADaM2021	Brunello
166	RNPC3	-1.8685195492175877	Common	ADaM2021	Brunello
167	AMY2A	-0.3562701092625613	Common	ADaM2021	Brunello
168	AMY1A	-0.4575255440035984	Common	ADaM2021	Brunello
169	AMY1B	-0.7385560218006436	Common	ADaM2021	Brunello
170	NBPF4	-0.3248153895256931	Common	ADaM2021	Brunello
171	PRPF38B	-3.189476382347732	Common	ADaM2021	Brunello
172	STXBP3	-1.969307234722257	Common	ADaM2021	Brunello
173	CLCC1	-0.3639280021808492	Common	ADaM2021	Brunello
174	SARS	-3.4250682761566247	Common	ADaM2021	Brunello
175	PSMA5	-4.266086265191583	Common	ADaM2021	Brunello
176	GSTM5	-0.2845385323184944	Exclusive	ADaM2021	Brunello
177	AHCYL1	-1.5537827693064554	Common	ADaM2021	Brunello
178	STRIP1	-0.5517130589680578	Common	ADaM2021	Brunello
179	KCNA10	-0.2794378388090915	Exclusive	ADaM2021	Brunello
180	WDR77	-3.4402421926968563	Common	ADaM2021	Brunello
181	DDX20	-2.7613849536621977	Common	ADaM2021	Brunello
182	DCLRE1B	-1.0712514816201244	Common	ADaM2021	Brunello
183	BCAS2	-1.1499204089107926	Common	ADaM2021	Brunello
184	ATP1A1	-3.754126188771088	Common	ADaM2021	Brunello
185	TTF2	-0.2672620935077376	Exclusive	ADaM2021	Brunello
186	WDR3	-1.8958240656287608	Common	ADaM2021	Brunello
187	SEC22B	-1.9474315171707943	Common	ADaM2021	Brunello
188	PPIAL4A	-0.7371811548834327	Common	ADaM2021	Brunello
189	FAM72C	-0.2985265806479378	Exclusive	ADaM2021	Brunello
190	PPIAL4E	-1.1049394760315678	Common	ADaM2021	Brunello
191	NBPF15	-2.157351850819984	Common	ADaM2021	Brunello
192	PPIAL4F	-1.0570829989686348	Common	ADaM2021	Brunello
193	NBPF20	-2.4346097332434744	Common	ADaM2021	Brunello
194	GPR89A	-2.4830761791707494	Common	ADaM2021	Brunello
195	POLR3C	-2.7084908907302108	Common	ADaM2021	Brunello
196	RBM8A	-3.855750191414125	Common	ADaM2021	Brunello
197	NBPF10	-0.9812907917564664	Common	ADaM2021	Brunello
198	NOTCH2NL	-0.3489530920286581	Common	ADaM2021	Brunello
199	NBPF12	-0.3559363421579465	Common	ADaM2021	Brunello
200	GPR89B	-2.1782841901682075	Common	ADaM2021	Brunello
201	NBPF11	-0.3757351779616365	Common	ADaM2021	Brunello
202	PPIAL4G	-0.9914537607181112	Common	ADaM2021	Brunello
203	NBPF14	-0.8611371687545949	Common	ADaM2021	Brunello
204	NBPF9	-2.48422388909348	Common	ADaM2021	Brunello
205	FCGR1A	-0.2304204453612178	Exclusive	ADaM2021	Brunello
206	HIST2H3C	-0.737141323536014	Common	ADaM2021	Brunello
207	HIST2H3A	-1.3295606768620734	Common	ADaM2021	Brunello
208	SF3B4	-4.031297730911135	Common	ADaM2021	Brunello
209	VPS45	-0.6341525393858984	Common	ADaM2021	Brunello
210	APH1A	-0.7526561160979416	Common	ADaM2021	Brunello
211	MRPS21	-1.1046548278948414	Common	ADaM2021	Brunello
212	PRPF3	-0.6202252139483534	Common	ADaM2021	Brunello
213	RPRD2	-0.3236055695266419	Common	ADaM2021	Brunello
214	TARS2	-0.856567013142407	Common	ADaM2021	Brunello
215	ARNT	-0.5435532474978589	Common	ADaM2021	Brunello
216	VPS72	-1.375120442718348	Common	ADaM2021	Brunello
217	PSMD4	-1.4126937651554212	Common	ADaM2021	Brunello
218	PSMB4	-4.66730387855854	Common	ADaM2021	Brunello
219	C2CD4D	-0.2747826759650953	Exclusive	ADaM2021	Brunello
220	THEM4	-0.3936202340596517	Common	ADaM2021	Brunello
221	LCE3E	-0.3229753818323646	Common	ADaM2021	Brunello
222	LCE1B	-0.606382986091162	Common	ADaM2021	Brunello
223	LCE1A	-0.316435930614047	Exclusive	ADaM2021	Brunello
224	SPRR2A	-0.5684565550049258	Common	ADaM2021	Brunello
225	SPRR2B	-0.3524736271040131	Common	ADaM2021	Brunello
226	SPRR2F	-0.2466046288964122	Exclusive	ADaM2021	Brunello
227	SNAPIN	-0.7695212593061652	Common	ADaM2021	Brunello
228	ILF2	-3.051472017312165	Common	ADaM2021	Brunello
229	INTS3	-2.639513087408704	Common	ADaM2021	Brunello
230	GATAD2B	-0.3344805395900527	Common	ADaM2021	Brunello
231	CRTC2	-0.3690617275875002	Common	ADaM2021	Brunello
232	JTB	-2.0728966311128225	Common	ADaM2021	Brunello
233	RPS27	-4.927459845340467	Common	ADaM2021	Brunello
234	UBAP2L	-0.6654003224625078	Common	ADaM2021	Brunello
235	ADAR	-0.6716841250998005	Common	ADaM2021	Brunello
236	PMVK	-1.2990185152846714	Common	ADaM2021	Brunello
237	SHC1	-0.7263522342778447	Common	ADaM2021	Brunello
238	CKS1B	-0.5073897910874278	Common	ADaM2021	Brunello
239	EFNA3	-0.6287397667913828	Common	ADaM2021	Brunello
240	DPM3	-0.3973891751733807	Common	ADaM2021	Brunello
241	KRTCAP2	-0.4114227586344323	Common	ADaM2021	Brunello
242	FDPS	-1.7600574649651897	Common	ADaM2021	Brunello
243	MSTO1	-1.327272930663793	Common	ADaM2021	Brunello
244	DAP3	-1.023815872517839	Common	ADaM2021	Brunello
245	GON4L	-0.4129971013199365	Common	ADaM2021	Brunello
246	SSR2	-0.6522675205828055	Common	ADaM2021	Brunello
247	LAMTOR2	-0.3654119582759573	Common	ADaM2021	Brunello
248	LMNA	-0.4403051525318756	Common	ADaM2021	Brunello
249	SEMA4A	-0.2409616270843855	Exclusive	ADaM2021	Brunello
250	PMF1-BGLAP	-2.0517790033632965	Common	ADaM2021	Brunello
251	PMF1	-3.170773309036548	Common	ADaM2021	Brunello
252	PAQR6	-0.274273193414344	Exclusive	ADaM2021	Brunello
253	SMG5	-1.270570685194917	Common	ADaM2021	Brunello
254	CCT3	-1.9060802266461965	Common	ADaM2021	Brunello
255	ISG20L2	-2.04808310544796	Common	ADaM2021	Brunello
256	PRCC	-0.5474213898346213	Common	ADaM2021	Brunello
257	LRRC71	-0.4808466467567666	Common	ADaM2021	Brunello
258	C1orf204	-0.2637491721797687	Exclusive	ADaM2021	Brunello
259	PIGM	-0.4660429269535311	Common	ADaM2021	Brunello
260	COPA	-4.150075003829143	Common	ADaM2021	Brunello
261	NCSTN	-0.4778095847362711	Common	ADaM2021	Brunello
262	ARHGAP30	-0.2697289314172607	Exclusive	ADaM2021	Brunello
263	PFDN2	-4.219217736925456	Common	ADaM2021	Brunello
264	UFC1	-0.4475997197983259	Common	ADaM2021	Brunello
265	DUSP12	-0.2521668664379362	Exclusive	ADaM2021	Brunello
266	NUF2	-3.4657637638561893	Common	ADaM2021	Brunello
267	POU2F1	-0.6789253385066976	Common	ADaM2021	Brunello
268	TIPRL	-0.8256975366357988	Common	ADaM2021	Brunello
269	SFT2D2	-0.237042006412196	Exclusive	ADaM2021	Brunello
270	PRRC2C	-0.2593551371298348	Exclusive	ADaM2021	Brunello
271	SUCO	-0.3258678440866545	Common	ADaM2021	Brunello
272	CENPL	-1.6005188237585952	Common	ADaM2021	Brunello
273	MRPS14	-1.2196450316572034	Common	ADaM2021	Brunello
274	RFWD2	-1.5681996269251288	Common	ADaM2021	Brunello
275	RNASEL	-0.2670634924477675	Exclusive	ADaM2021	Brunello
276	RGS16	-0.2339434035731809	Exclusive	ADaM2021	Brunello
277	DHX9	-3.137186241412265	Common	ADaM2021	Brunello
278	SMG7	-1.0478933535923836	Common	ADaM2021	Brunello
279	TSEN15	-0.516836157478456	Common	ADaM2021	Brunello
280	SWT1	-0.757605037802032	Common	ADaM2021	Brunello
281	HMCN1	-0.322524546639428	Common	ADaM2021	Brunello
282	TPR	-2.0221160248038093	Common	ADaM2021	Brunello
283	C1orf27	-1.253671580585759	Common	ADaM2021	Brunello
284	OCLM	-0.4114245891276772	Common	ADaM2021	Brunello
285	UCHL5	-0.5996017874211561	Common	ADaM2021	Brunello
286	CDC73	-1.197075725666828	Common	ADaM2021	Brunello
287	ASPM	-1.456040915981356	Common	ADaM2021	Brunello
288	KIF14	-0.7758091015645164	Common	ADaM2021	Brunello
289	DDX59	-1.570177360603242	Common	ADaM2021	Brunello
290	CAMSAP2	-0.3816998297529502	Common	ADaM2021	Brunello
291	IPO9	-0.4509009260715985	Common	ADaM2021	Brunello
292	RABIF	-2.678059191739204	Common	ADaM2021	Brunello
293	TMEM183A	-0.2323654279905964	Exclusive	ADaM2021	Brunello
294	SNRPE	-1.8094138978183436	Common	ADaM2021	Brunello
295	PPP1R15B	-1.0247573804069894	Common	ADaM2021	Brunello
296	RBBP5	-2.2493811815490585	Common	ADaM2021	Brunello
297	ELK4	-0.3677869737529119	Common	ADaM2021	Brunello
298	FAM72A	-0.3069279104942518	Exclusive	ADaM2021	Brunello
299	DIEXF	-1.6317504732581245	Common	ADaM2021	Brunello
300	NEK2	-0.4453521243987112	Common	ADaM2021	Brunello
301	INTS7	-2.376079571112659	Common	ADaM2021	Brunello
302	DTL	-2.525781447588812	Common	ADaM2021	Brunello
303	NSL1	-3.7570755151569823	Common	ADaM2021	Brunello
304	CENPF	-0.975102974938662	Common	ADaM2021	Brunello
305	KCNK2	-0.2874163583986435	Exclusive	ADaM2021	Brunello
306	RRP15	-1.5619695981697204	Common	ADaM2021	Brunello
307	EPRS	-2.473466140753683	Common	ADaM2021	Brunello
308	IARS2	-4.271184590210368	Common	ADaM2021	Brunello
309	TAF1A	-1.3385730259661377	Common	ADaM2021	Brunello
310	FBXO28	-0.3549142271398207	Common	ADaM2021	Brunello
311	NVL	-1.7900737758049416	Common	ADaM2021	Brunello
312	WDR26	-0.5033108201124322	Common	ADaM2021	Brunello
313	SRP9	-1.3159760546346035	Common	ADaM2021	Brunello
314	SDE2	-2.737968370574616	Common	ADaM2021	Brunello
315	H3F3A	-2.950865518498833	Common	ADaM2021	Brunello
316	LIN9	-2.0806120204025222	Common	ADaM2021	Brunello
317	ARF1	-1.2109282537819526	Common	ADaM2021	Brunello
318	GUK1	-3.289865114055568	Common	ADaM2021	Brunello
319	HIST3H2BB	-0.2361739033521017	Exclusive	ADaM2021	Brunello
320	NUP133	-2.041101493152417	Common	ADaM2021	Brunello
321	URB2	-1.6299673343631562	Common	ADaM2021	Brunello
322	COG2	-1.016777591481307	Common	ADaM2021	Brunello
323	C1orf131	-2.162208172766501	Common	ADaM2021	Brunello
324	EXOC8	-0.6562403455054737	Common	ADaM2021	Brunello
325	TOMM20	-1.4588249113525258	Common	ADaM2021	Brunello
326	RBM34	-0.2464615307194836	Exclusive	ADaM2021	Brunello
327	GGPS1	-3.860148357787349	Common	ADaM2021	Brunello
328	TBCE	-3.013812345119796	Common	ADaM2021	Brunello
329	HEATR1	-2.174580313487315	Common	ADaM2021	Brunello
330	C1orf100	-0.4506249823018454	Common	ADaM2021	Brunello
331	ADSS	-0.5665657808492894	Common	ADaM2021	Brunello
332	HNRNPU	-2.4559964707366486	Common	ADaM2021	Brunello
333	TFB2M	-0.3037048893738435	Exclusive	ADaM2021	Brunello
334	AHCTF1	-1.7456392316083889	Common	ADaM2021	Brunello
335	VN1R5	-0.3004313622949704	Exclusive	ADaM2021	Brunello
336	OR1C1	-0.3094448436722339	Exclusive	ADaM2021	Brunello
337	OR2L3	-0.3296711087176031	Common	ADaM2021	Brunello
338	OR2M3	-1.427093738969723	Common	ADaM2021	Brunello
339	OR2T27	-0.5472528924419565	Common	ADaM2021	Brunello
340	FAM110C	-0.2437522018278109	Exclusive	ADaM2021	Brunello
341	TSSC1	-2.554968290561201	Common	ADaM2021	Brunello
342	RPS7	-1.890260949190988	Common	ADaM2021	Brunello
343	ID2	-0.8408604533753541	Common	ADaM2021	Brunello
344	CPSF3	-2.632849509523569	Common	ADaM2021	Brunello
345	TAF1B	-2.258770681015978	Common	ADaM2021	Brunello
346	RRM2	-2.784287581256469	Common	ADaM2021	Brunello
347	NOL10	-3.3560932827789998	Common	ADaM2021	Brunello
348	NBAS	-2.4075337114088318	Common	ADaM2021	Brunello
349	DDX1	-0.705505248432974	Common	ADaM2021	Brunello
350	SMC6	-1.381137935065555	Common	ADaM2021	Brunello
351	NT5C1B	-0.3590266716733769	Common	ADaM2021	Brunello
352	RAB10	-4.03629395091032	Common	ADaM2021	Brunello
353	EPT1	-0.2871380628547721	Exclusive	ADaM2021	Brunello
354	CENPA	-2.642850151178739	Common	ADaM2021	Brunello
355	PREB	-3.3485757100241327	Common	ADaM2021	Brunello
356	CAD	-0.6347979034959674	Common	ADaM2021	Brunello
357	GTF3C2	-0.7825323653984789	Common	ADaM2021	Brunello
358	EIF2B4	-2.581068192127502	Common	ADaM2021	Brunello
359	NRBP1	-1.2917818310076734	Common	ADaM2021	Brunello
360	GPN1	-3.2279256631245747	Common	ADaM2021	Brunello
361	MRPL33	-0.7402234803536758	Common	ADaM2021	Brunello
362	PPP1CB	-1.759983099555353	Common	ADaM2021	Brunello
363	WDR43	-1.4946407602928011	Common	ADaM2021	Brunello
364	YPEL5	-0.59192791238926	Common	ADaM2021	Brunello
365	DPY30	-0.5863520824587309	Common	ADaM2021	Brunello
366	TTC27	-2.7499124053200275	Common	ADaM2021	Brunello
367	CEBPZ	-2.7325568706479864	Common	ADaM2021	Brunello
368	ATL2	-0.8589799613990704	Common	ADaM2021	Brunello
369	SRSF7	-5.62984572865094	Common	ADaM2021	Brunello
370	GEMIN6	-2.2074460568355816	Common	ADaM2021	Brunello
371	ARHGEF33	-0.28661553054999	Exclusive	ADaM2021	Brunello
372	SOS1	-0.8047103274341431	Common	ADaM2021	Brunello
373	CDKL4	-0.506792984587366	Common	ADaM2021	Brunello
374	MTA3	-0.3846769241930723	Common	ADaM2021	Brunello
375	HAAO	-0.2487571022532419	Exclusive	ADaM2021	Brunello
376	LRPPRC	-1.042707203653373	Common	ADaM2021	Brunello
377	SRBD1	-1.1827048547491863	Common	ADaM2021	Brunello
378	TTC7A	-3.145898181754143	Common	ADaM2021	Brunello
379	FBXO11	-0.5261346648229183	Common	ADaM2021	Brunello
380	GTF2A1L	-0.4015567929713572	Common	ADaM2021	Brunello
381	FSHR	-0.3032775762707921	Exclusive	ADaM2021	Brunello
382	ASB3	-0.3514537694883125	Common	ADaM2021	Brunello
383	RPS27A	-2.7886541373984275	Common	ADaM2021	Brunello
384	CCDC88A	-0.3431174958537999	Common	ADaM2021	Brunello
385	PEX13	-0.2885043208881503	Exclusive	ADaM2021	Brunello
386	USP34	-0.8735334560001418	Common	ADaM2021	Brunello
387	XPO1	-7.449753810776516	Common	ADaM2021	Brunello
388	CCT4	-3.7590780178560017	Common	ADaM2021	Brunello
389	UGP2	-0.2716836328340402	Exclusive	ADaM2021	Brunello
390	VPS54	-1.611206434977364	Common	ADaM2021	Brunello
391	ACTR2	-1.9860535459339963	Common	ADaM2021	Brunello
392	PNO1	-0.3603392882289574	Common	ADaM2021	Brunello
393	GFPT1	-1.785221689549812	Common	ADaM2021	Brunello
394	SNRNP27	-1.157027546539184	Common	ADaM2021	Brunello
395	PCBP1	-2.9558706087138864	Common	ADaM2021	Brunello
396	PCYOX1	-0.6693550548348861	Common	ADaM2021	Brunello
397	SNRPG	-4.186320083655149	Common	ADaM2021	Brunello
398	MPHOSPH10	-0.8635052605950003	Common	ADaM2021	Brunello
399	NOTO	-0.3146314951736507	Exclusive	ADaM2021	Brunello
400	CCT7	-3.668302138412544	Common	ADaM2021	Brunello
401	TPRKB	-0.8592857103318166	Common	ADaM2021	Brunello
402	DCTN1	-1.0544102262002786	Common	ADaM2021	Brunello
403	MRPL53	-0.4660123032403898	Common	ADaM2021	Brunello
404	HK2	-0.4724743624444785	Common	ADaM2021	Brunello
405	KCMF1	-1.7557409802156951	Common	ADaM2021	Brunello
406	MAT2A	-3.7175010670915296	Common	ADaM2021	Brunello
407	GGCX	-0.7655343676579213	Common	ADaM2021	Brunello
408	USP39	-2.8121305188177605	Common	ADaM2021	Brunello
409	POLR1A	-3.286080329701485	Common	ADaM2021	Brunello
410	PTCD3	-0.6941621875912966	Common	ADaM2021	Brunello
411	IMMT	-0.9523451298721304	Common	ADaM2021	Brunello
412	KDM3A	-0.2932769825684345	Exclusive	ADaM2021	Brunello
413	CHMP3	-0.3654398841280118	Common	ADaM2021	Brunello
414	CD8B	-0.6420856621560601	Common	ADaM2021	Brunello
415	RGPD1	-0.6241045937990928	Common	ADaM2021	Brunello
416	PLGLB1	-0.7221180867476491	Common	ADaM2021	Brunello
417	PLGLB2	-0.5164660881933943	Common	ADaM2021	Brunello
418	RGPD2	-0.5102846458366002	Common	ADaM2021	Brunello
419	MRPS5	-0.3268979860011099	Common	ADaM2021	Brunello
420	TRIM43	-0.8947077051211008	Common	ADaM2021	Brunello
